seed,scenario_family,decision_date,budget,policy_kind,latency_days,policy_value,fresh_policy_value,stale_regret,relative_loss,target_overlap,missed_at_risk,window_miss_rate,selected_customers,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_relative_loss,partial_reopt_target_overlap,partial_reopt_missed_at_risk,partial_reopt_window_miss_rate,partial_reopt_selected_customers,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio,partial_reopt_target_overlap_recovery,partial_reopt_missed_at_risk_recovery,partial_reopt_window_miss_rate_recovery,random_refresh_policy_value,random_refresh_stale_regret,random_refresh_relative_loss,random_refresh_target_overlap,random_refresh_missed_at_risk,random_refresh_window_miss_rate,random_refresh_selected_customers,random_refresh_full_refresh_value_ratio,random_refresh_optimization_call_ratio,random_refresh_target_overlap_recovery,random_refresh_missed_at_risk_recovery,random_refresh_window_miss_rate_recovery,top_risk_refresh_policy_value,top_risk_refresh_stale_regret,top_risk_refresh_relative_loss,top_risk_refresh_target_overlap,top_risk_refresh_missed_at_risk,top_risk_refresh_window_miss_rate,top_risk_refresh_selected_customers,top_risk_refresh_full_refresh_value_ratio,top_risk_refresh_optimization_call_ratio,top_risk_refresh_target_overlap_recovery,top_risk_refresh_missed_at_risk_recovery,top_risk_refresh_window_miss_rate_recovery,top_value_refresh_policy_value,top_value_refresh_stale_regret,top_value_refresh_relative_loss,top_value_refresh_target_overlap,top_value_refresh_missed_at_risk,top_value_refresh_window_miss_rate,top_value_refresh_selected_customers,top_value_refresh_full_refresh_value_ratio,top_value_refresh_optimization_call_ratio,top_value_refresh_target_overlap_recovery,top_value_refresh_missed_at_risk_recovery,top_value_refresh_window_miss_rate_recovery
151,complaint-heavy,2025-03-26,2760000,base-stale,0,48560873.030302,48560873.030302,0.0,0.0,1.0,0.0,0.0,360,48560873.030302,0.0,0.0,1.0,0.0,0.0,360.0,0.0,1.0,0.031264,0.0,0.0,0.0,48560873.030302,0.0,0.0,1.0,0.0,0.0,360.0,1.0,0.031264,0.0,0.0,0.0,48560873.030302,0.0,0.0,1.0,0.0,0.0,360.0,1.0,0.031264,0.0,0.0,0.0,48560873.030302,0.0,0.0,1.0,0.0,0.0,360.0,1.0,0.031264,0.0,0.0,0.0
151,complaint-heavy,2025-03-26,5480000,base-stale,0,73830700.538863,73830700.538863,0.0,0.0,1.0,0.0,0.0,699,73830700.538863,0.0,0.0,1.0,0.0,0.0,699.0,0.0,1.0,0.031264,0.0,0.0,0.0,73830700.538863,0.0,0.0,1.0,0.0,0.0,699.0,1.0,0.031264,0.0,0.0,0.0,73830700.538863,0.0,0.0,1.0,0.0,0.0,699.0,1.0,0.031264,0.0,0.0,0.0,73830700.538863,0.0,0.0,1.0,0.0,0.0,699.0,1.0,0.031264,0.0,0.0,0.0
151,complaint-heavy,2025-03-26,7550000,base-stale,0,84371974.954844,84371974.954844,0.0,0.0,1.0,0.0,0.0,1066,84371974.954844,0.0,0.0,1.0,0.0,0.0,1066.0,0.0,1.0,0.031264,0.0,0.0,0.0,84371974.954844,0.0,0.0,1.0,0.0,0.0,1066.0,1.0,0.031264,0.0,0.0,0.0,84371974.954844,0.0,0.0,1.0,0.0,0.0,1066.0,1.0,0.031264,0.0,0.0,0.0,84371974.954844,0.0,0.0,1.0,0.0,0.0,1066.0,1.0,0.031264,0.0,0.0,0.0
151,complaint-heavy,2025-03-26,2760000,base-stale,1,50188605.902812,48560873.030302,-1627732.87251,-0.033519,0.872222,0.156489,0.0,348,49254748.873713,-693875.843411,-0.014289,0.933333,0.072519,0.0,367.0,-0.573716,1.014289,0.0901,0.478259,0.536587,0.0,49904796.936392,-1343923.90609,-0.027675,0.894444,0.125954,0.0,356.0,1.027675,0.0901,0.173911,0.195126,0.0,49142574.223397,-581701.193095,-0.011979,0.969444,0.022901,0.0,368.0,1.011979,0.0901,0.760867,0.853657,0.0,51296297.771397,-2735424.741095,-0.05633,0.869444,0.179389,0.0,341.0,1.05633,0.0901,-0.021741,-0.146336,0.0
151,complaint-heavy,2025-03-26,5480000,base-stale,1,75639416.005213,73830700.538863,-1808715.46635,-0.024498,0.844063,0.230435,0.0,679,74301021.990846,-470321.451983,-0.00637,0.922747,0.095652,0.0,713.0,-0.739969,1.00637,0.0901,0.504588,0.584907,0.0,75641871.317672,-1811170.778809,-0.024531,0.845494,0.223913,0.0,681.0,1.024531,0.0901,0.009177,0.028303,0.0,75557410.089055,-1726709.550192,-0.023387,0.876967,0.180435,0.0,680.0,1.023387,0.0901,0.211008,0.216981,0.0,75379060.677169,-1548360.138306,-0.020972,0.858369,0.215217,0.0,685.0,1.020972,0.0901,0.091742,0.06604,0.0
151,complaint-heavy,2025-03-26,7550000,base-stale,1,85106721.770614,84371974.954844,-734746.81577,-0.008708,0.838649,0.221113,0.0,1045,84398812.111144,-26837.1563,-0.000318,0.879925,0.142653,0.0,1061.0,-0.963474,1.000318,0.0901,0.255815,0.354841,0.0,84920543.664283,-548568.709439,-0.006502,0.846154,0.2097,0.0,1037.0,1.006502,0.0901,0.046514,0.051616,0.0,85152068.606552,-780093.651708,-0.009246,0.844278,0.212553,0.0,1039.0,1.009246,0.0901,0.034887,0.038713,0.0,84760662.089227,-388687.134383,-0.004607,0.834897,0.228245,0.0,1037.0,1.004607,0.0901,-0.023254,-0.032255,0.0
151,complaint-heavy,2025-03-26,2760000,base-stale,3,49539443.391302,48560873.030302,-978570.361,-0.020151,0.866667,0.167939,0.002933,341,49137916.611418,-577043.581116,-0.011883,0.927778,0.080153,0.00274,365.0,-0.41032,1.011883,0.087712,0.458334,0.522726,0.065803,49650972.671579,-1090099.641277,-0.022448,0.866667,0.167939,0.002933,341.0,1.022448,0.087712,0.0,0.0,0.0,49527267.891331,-966394.861029,-0.019901,0.966667,0.030534,0.002725,367.0,1.019901,0.087712,0.750002,0.818184,0.070917,51061741.048606,-2500868.018304,-0.0515,0.869444,0.179389,0.002933,341.0,1.0515,0.087712,0.020828,-0.06818,0.0
151,complaint-heavy,2025-03-26,2760000,stronger-but-stale,3,50072328.674424,48560873.030302,-1511455.644122,-0.031125,0.875,0.152672,0.036415,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,complaint-heavy,2025-03-26,2760000,weaker-but-fresh,0,26517710.068063,48560873.030302,22043162.962239,0.453928,0.780556,0.041985,0.0,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,complaint-heavy,2025-03-26,5480000,base-stale,3,75701949.373895,73830700.538863,-1871248.835032,-0.025345,0.856938,0.206522,0.001437,696,74223121.962429,-392421.423566,-0.005315,0.919886,0.1,0.001391,719.0,-0.790289,1.005315,0.087712,0.440005,0.51579,0.032011,75447089.707183,-1616389.16832,-0.021893,0.868383,0.191304,0.001435,697.0,1.021893,0.087712,0.08,0.073687,0.001392,75812619.008275,-1981918.469412,-0.026844,0.881259,0.171739,0.001451,689.0,1.026844,0.087712,0.170003,0.168423,-0.009743,75070243.4428,-1239542.903937,-0.016789,0.862661,0.208696,0.001453,688.0,1.016789,0.087712,0.040004,-0.010527,-0.011134
